sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
04000191,04,Cao Bằng,4.1,5.25,3.75,,,,,,,,,Giáo dục kinh tế pháp luật=4.75
04000192,04,Cao Bằng,8.5,7.25,,9.25,8,,,,,,,
04000193,04,Cao Bằng,8,7.75,7.25,,,,9.5,,,,,
04000194,04,Cao Bằng,6.5,5.5,,,,,6,,,,,Giáo dục kinh tế pháp luật=5.25
04000195,04,Cao Bằng,7.25,8.5,8.75,,,,7.25,,,,,
04000196,04,Cao Bằng,9.25,8.5,6.25,6.75,,,,,,,,
04000197,04,Cao Bằng,6.25,5.75,,4.35,,,6.5,,,,,
04000198,04,Cao Bằng,4.1,4.5,,,,,5.25,,,,,Công nghệ nông nghiệp=5.75
04000199,04,Cao Bằng,5,7.25,,2.85,,,7,,,,,
04000200,04,Cao Bằng,3.75,3.5,,,,3.25,3,,,,,
04000201,04,Cao Bằng,3.2,,,,5,6.1,,,,,,
04000202,04,Cao Bằng,6.75,8,,,5.75,,7,,,,,
04000203,04,Cao Bằng,5.75,8.25,,,,,8.5,6.6,,,,
04000204,04,Cao Bằng,4.85,7.5,,4.75,,,6.5,,,,,
04000205,04,Cao Bằng,4.5,3.75,,,,,5.1,2.1,,,,
04000206,04,Cao Bằng,5,4,,,,,5.95,,,,,Giáo dục kinh tế pháp luật=4.5
04000207,04,Cao Bằng,,6.5,,,,,6.5,5.5,,,,
04000208,04,Cao Bằng,3.25,5.75,,,,,3.35,2.45,,,,
04000209,04,Cao Bằng,4.25,7,,,,,,3.75,,,,Giáo dục kinh tế pháp luật=4.45
04000210,04,Cao Bằng,8.5,7.5,4.5,6,,,,,,,,
04000211,04,Cao Bằng,7.75,7.5,4.25,5.75,,,,,,,,
04000212,04,Cao Bằng,4.75,6.75,,4.25,,,6,,,,,
04000213,04,Cao Bằng,5.75,7.25,,3.1,,,6.85,,,,,
04000214,04,Cao Bằng,8.5,6.5,,7.25,8,,,,,,,
04000215,04,Cao Bằng,7.25,8,,,,,7.25,6.85,,,,
04000216,04,Cao Bằng,3.95,8,,,,,,6.25,,,,Giáo dục kinh tế pháp luật=4.95
04000217,04,Cao Bằng,5,8.25,4,,,,,4.25,,,,
04000218,04,Cao Bằng,4.2,4.5,,,,3.1,6,,,,,
04000219,04,Cao Bằng,4.1,7.5,,,,,9,6,,,,
04000220,04,Cao Bằng,10,7.75,7.75,7.5,,,,,,,,
04000221,04,Cao Bằng,2.75,5.25,,3.85,2.35,,,,,,,
04000222,04,Cao Bằng,4.75,6.25,3,4.6,,,,,,,,
04000223,04,Cao Bằng,6.25,7.5,3,,,,6.85,,,,,
04000224,04,Cao Bằng,,6.75,,,,,6.25,,,,,Giáo dục kinh tế pháp luật=4.1
04000225,04,Cao Bằng,4.25,,,,6.1,4.25,,,,,,
04000226,04,Cao Bằng,3.25,7.5,4,,,,7,,,,,
04000227,04,Cao Bằng,,6.75,,,,,7.6,8.5,,,,
04000228,04,Cao Bằng,3.75,7,,,,,7.25,4.25,,,,
04000229,04,Cao Bằng,2.75,5,,,,,3.1,,,,,Giáo dục kinh tế pháp luật=3.6
04000230,04,Cao Bằng,5.5,7.25,,,,,,6.25,,,,Công nghệ nông nghiệp=7.1
04000231,04,Cao Bằng,4.75,7.75,,,,,5.25,6.25,,,,
04000232,04,Cao Bằng,3,6,,,3.5,,3.45,,,,,
04000233,04,Cao Bằng,2.1,6.5,1,,,,4.25,,,,,
04000234,04,Cao Bằng,3.5,6.5,,,,4.35,4.2,,,,,
04000235,04,Cao Bằng,4.25,4.5,6.5,,,,4.5,,,,,
04000236,04,Cao Bằng,5.25,7,,,,,6.6,5.85,,,,
04000237,04,Cao Bằng,3.25,8,,,,,4.35,,,,,Công nghệ công nghiệp=5.35
04000238,04,Cao Bằng,3.35,6.25,,,,,5.75,5.75,,,,
04000239,04,Cao Bằng,3.75,6.5,,,2.5,4.25,,,,,,
04000240,04,Cao Bằng,5.25,8.25,,,,,5.95,,,,,
04000241,04,Cao Bằng,6.75,8,,7,7,,,,,,,
04000242,04,Cao Bằng,2.6,5.5,,,,,,3.6,,,,Công nghệ nông nghiệp=7.25
04000243,04,Cao Bằng,4,7.75,,,,,6.35,,,,,Giáo dục kinh tế pháp luật=5.6
